carrier_code,flight_number,tail_number,destination_airport,scheduled_elapsed_time_(minutes),actual_elapsed_time_(minutes),departure_delay_(minutes),taxi-out_time_(minutes),date_mm/dd/yyyy,actual_departure_time,scheduled_departure_time,wheels-off_time,DepDel15
AA,1309,N825NN,DFW,151,140,57,18,2019-08-02,2019-08-02 15:15:00,2019-08-02 14:18:00,2019-08-02 15:33:00,1
AA,1567,N951AA,DFW,153,149,36,21,2019-08-02,2019-08-02 08:35:00,2019-08-02 07:59:00,2019-08-02 08:56:00,1
AA,1662,N949UW,LGA,137,132,115,31,2019-08-02,2019-08-02 21:08:00,2019-08-02 19:13:00,2019-08-02 21:39:00,1
AA,1691,N803AW,ORD,141,119,44,11,2019-10-02,2019-10-02 18:52:00,2019-10-02 18:08:00,2019-10-02 19:03:00,1
AA,2328,N838NN,LAX,317,311,22,11,2019-10-02,2019-10-02 07:02:00,2019-10-02 06:40:00,2019-10-02 07:13:00,1
AA,2737,N903AN,LAX,303,318,85,10,2019-10-02,2019-10-02 12:32:00,2019-10-02 11:07:00,2019-10-02 12:42:00,1
AA,2778,N915AN,DFW,149,142,20,16,2019-10-02,2019-10-02 13:06:00,2019-10-02 12:46:00,2019-10-02 13:22:00,1
AA,426,N704US,CLT,82,75,59,25,2019-11-02,2019-11-02 11:58:00,2019-11-02 10:59:00,2019-11-02 12:23:00,1
AA,649,N669AW,DFW,152,146,63,11,2019-11-02,2019-11-02 20:56:00,2019-11-02 19:53:00,2019-11-02 21:07:00,1
AA,681,N803AW,CLT,77,67,32,14,2019-11-02,2019-11-02 12:58:00,2019-11-02 12:26:00,2019-11-02 13:12:00,1
AA,1691,N742PS,ORD,141,141,140,23,2019-11-02,2019-11-02 20:28:00,2019-11-02 18:08:00,2019-11-02 20:51:00,1
AA,1907,N732US,PHL,122,132,21,20,2019-11-02,2019-11-02 07:48:00,2019-11-02 07:27:00,2019-11-02 08:08:00,1
AA,401,N704US,PHL,129,110,76,11,2019-12-02,2019-12-02 16:39:00,2019-12-02 15:23:00,2019-12-02 16:50:00,1
AA,426,N751UW,CLT,82,62,26,16,2019-12-02,2019-12-02 11:25:00,2019-12-02 10:59:00,2019-12-02 11:41:00,1
AA,444,N680AW,DFW,151,141,22,16,2019-12-02,2019-12-02 16:46:00,2019-12-02 16:24:00,2019-12-02 17:02:00,1
AA,681,N742PS,CLT,77,55,44,10,2019-12-02,2019-12-02 13:10:00,2019-12-02 12:26:00,2019-12-02 13:20:00,1
AA,1309,N979NN,DFW,151,145,479,17,2019-12-02,2019-12-02 22:17:00,2019-12-02 14:18:00,2019-12-02 22:34:00,1
AA,1618,N9002U,MIA,119,112,34,18,2019-12-02,2019-12-02 20:50:00,2019-12-02 20:16:00,2019-12-02 21:08:00,1
AA,2091,N749US,MIA,124,131,119,29,2019-12-02,2019-12-02 20:10:00,2019-12-02 18:11:00,2019-12-02 20:39:00,1
AA,2562,N983NN,ORD,141,120,19,25,2019-12-02,2019-12-02 11:14:00,2019-12-02 10:55:00,2019-12-02 11:39:00,1
AA,242,N979NN,DFW,153,155,38,21,2019-02-13,2019-02-13 19:04:00,2019-02-13 18:26:00,2019-02-13 19:25:00,1
AA,1409,N919AN,LAX,311,350,15,24,2019-02-13,2019-02-13 18:19:00,2019-02-13 18:04:00,2019-02-13 18:43:00,1
AA,1691,N770UW,ORD,141,128,85,18,2019-02-13,2019-02-13 19:33:00,2019-02-13 18:08:00,2019-02-13 19:51:00,1
AA,2737,N864NN,LAX,303,319,43,19,2019-02-13,2019-02-13 11:50:00,2019-02-13 11:07:00,2019-02-13 12:09:00,1
AA,2737,N200NV,LAX,309,328,32,21,2019-02-14,2019-02-14 11:33:00,2019-02-14 11:01:00,2019-02-14 11:54:00,1
AA,2828,N930AN,MIA,117,119,24,24,2019-02-14,2019-02-14 12:12:00,2019-02-14 11:48:00,2019-02-14 12:36:00,1
AA,426,N823AW,CLT,83,84,15,35,2019-02-15,2019-02-15 11:14:00,2019-02-15 10:59:00,2019-02-15 11:49:00,1
AA,1309,N883NN,DFW,153,150,29,16,2019-02-15,2019-02-15 14:45:00,2019-02-15 14:16:00,2019-02-15 15:01:00,1
AA,1618,N875NN,MIA,119,105,32,18,2019-02-15,2019-02-15 20:48:00,2019-02-15 20:16:00,2019-02-15 21:06:00,1
AA,2214,N904NN,MIA,126,109,24,19,2019-02-15,2019-02-15 16:57:00,2019-02-15 16:33:00,2019-02-15 17:16:00,1
AA,1618,N800NN,MIA,119,110,20,17,2019-02-16,2019-02-16 20:36:00,2019-02-16 20:16:00,2019-02-16 20:53:00,1
AA,1691,N810AW,ORD,147,132,66,15,2019-02-16,2019-02-16 18:43:00,2019-02-16 17:37:00,2019-02-16 18:58:00,1
AA,2091,N840AW,MIA,124,116,74,18,2019-02-16,2019-02-16 19:25:00,2019-02-16 18:11:00,2019-02-16 19:43:00,1
AA,476,N665AW,PHX,257,272,690,15,2019-02-17,2019-02-17 22:58:00,2019-02-17 11:28:00,2019-02-17 23:13:00,1
AA,588,N965UW,LGA,134,118,18,23,2019-02-17,2019-02-17 19:34:00,2019-02-17 19:16:00,2019-02-17 19:57:00,1
AA,649,N654AW,DFW,154,158,80,15,2019-02-17,2019-02-17 21:11:00,2019-02-17 19:51:00,2019-02-17 21:26:00,1
AA,1691,N828AW,ORD,147,145,187,38,2019-02-17,2019-02-17 20:44:00,2019-02-17 17:37:00,2019-02-17 21:22:00,1
AA,1991,N948UW,PHL,131,125,22,28,2019-02-17,2019-02-17 18:25:00,2019-02-17 18:03:00,2019-02-17 18:53:00,1
AA,2091,N840AW,MIA,124,122,22,29,2019-02-17,2019-02-17 18:33:00,2019-02-17 18:11:00,2019-02-17 19:02:00,1
AA,2214,N934AN,MIA,126,106,19,14,2019-02-17,2019-02-17 16:52:00,2019-02-17 16:33:00,2019-02-17 17:06:00,1
AA,426,N830AW,CLT,83,64,107,14,2019-02-18,2019-02-18 12:46:00,2019-02-18 10:59:00,2019-02-18 13:00:00,1
AA,476,N107US,PHX,257,266,22,13,2019-02-18,2019-02-18 11:50:00,2019-02-18 11:28:00,2019-02-18 12:03:00,1
AA,1618,N825NN,MIA,119,107,45,14,2019-02-18,2019-02-18 21:01:00,2019-02-18 20:16:00,2019-02-18 21:15:00,1
AA,1718,N649AW,CLT,80,64,50,12,2019-02-18,2019-02-18 07:53:00,2019-02-18 07:03:00,2019-02-18 08:05:00,1
AA,1991,N952UW,PHL,131,168,147,68,2019-02-18,2019-02-18 20:30:00,2019-02-18 18:03:00,2019-02-18 21:38:00,1
AA,2214,N355PU,MIA,126,107,45,11,2019-02-18,2019-02-18 17:18:00,2019-02-18 16:33:00,2019-02-18 17:29:00,1
AA,401,N730US,PHL,129,114,18,13,2019-02-19,2019-02-19 15:41:00,2019-02-19 15:23:00,2019-02-19 15:54:00,1
AA,588,N950UW,LGA,134,132,28,37,2019-02-19,2019-02-19 19:44:00,2019-02-19 19:16:00,2019-02-19 20:21:00,1
AA,649,N679AW,DFW,154,146,109,12,2019-02-19,2019-02-19 21:40:00,2019-02-19 19:51:00,2019-02-19 21:52:00,1
AA,1309,N980AN,DFW,153,188,32,14,2019-02-19,2019-02-19 14:48:00,2019-02-19 14:16:00,2019-02-19 15:02:00,1
AA,1409,N343PN,LAX,316,337,120,39,2019-02-19,2019-02-19 19:59:00,2019-02-19 17:59:00,2019-02-19 20:38:00,1
AA,1618,N913NN,MIA,119,120,27,23,2019-02-19,2019-02-19 20:43:00,2019-02-19 20:16:00,2019-02-19 21:06:00,1
AA,1630,N673AW,DFW,153,155,30,25,2019-02-19,2019-02-19 16:51:00,2019-02-19 16:21:00,2019-02-19 17:16:00,1
AA,1991,N951UW,PHL,131,108,21,18,2019-02-19,2019-02-19 18:24:00,2019-02-19 18:03:00,2019-02-19 18:42:00,1
AA,2194,N760US,CLT,78,83,28,32,2019-02-19,2019-02-19 12:50:00,2019-02-19 12:22:00,2019-02-19 13:22:00,1
AA,2344,N913NN,MIA,119,113,32,18,2019-02-19,2019-02-19 08:02:00,2019-02-19 07:30:00,2019-02-19 08:20:00,1
AA,401,N701UW,PHL,129,114,23,21,2019-02-20,2019-02-20 15:46:00,2019-02-20 15:23:00,2019-02-20 16:07:00,1
AA,426,N757UW,CLT,83,81,25,32,2019-02-20,2019-02-20 11:24:00,2019-02-20 10:59:00,2019-02-20 11:56:00,1
AA,588,N959UW,LGA,134,112,1013,12,2019-02-20,2019-02-20 12:09:00,2019-02-20 19:16:00,2019-02-20 12:21:00,1
AA,649,N654AW,DFW,154,174,43,35,2019-02-20,2019-02-20 20:34:00,2019-02-20 19:51:00,2019-02-20 21:09:00,1
AA,1409,N967NN,LAX,316,391,33,87,2019-02-20,2019-02-20 18:32:00,2019-02-20 17:59:00,2019-02-20 19:59:00,1
AA,1574,N12028,ORD,138,154,56,46,2019-02-20,2019-02-20 08:18:00,2019-02-20 07:22:00,2019-02-20 09:04:00,1
AA,1618,N938AN,MIA,119,106,268,21,2019-02-20,2019-02-20 00:44:00,2019-02-20 20:16:00,2019-02-20 01:05:00,1
AA,1630,N653AW,DFW,153,166,25,28,2019-02-20,2019-02-20 16:46:00,2019-02-20 16:21:00,2019-02-20 17:14:00,1
AA,1851,N679AW,DFW,155,202,66,68,2019-02-20,2019-02-20 19:30:00,2019-02-20 18:24:00,2019-02-20 20:38:00,1
AA,1991,N947UW,PHL,131,123,944,19,2019-02-20,2019-02-20 09:47:00,2019-02-20 18:03:00,2019-02-20 10:06:00,1
AA,2194,N836AW,CLT,78,68,18,23,2019-02-20,2019-02-20 12:40:00,2019-02-20 12:22:00,2019-02-20 13:03:00,1
AA,426,N717UW,CLT,83,79,44,22,2019-02-21,2019-02-21 11:43:00,2019-02-21 10:59:00,2019-02-21 12:05:00,1
AA,649,N653AW,DFW,154,165,164,28,2019-02-21,2019-02-21 22:35:00,2019-02-21 19:51:00,2019-02-21 23:03:00,1
